Z2_Z1_SD	Z3_Z2_SD	Z4_FMG_Z3_SD	Z4_ZE_Z3_SD	Z5_Z4_FMG	Z5_Z4_ZE	Z6_Z5_FMG	Z6_Z5_ZE	Z7_Z6_FMG	Z7_Z6_ZE	Z8_Z7_FMG	Z8_Z7_ZE	Z9_Z8_FMG	Z9_Z8_ZE	Z10_Z9_FMG	Z10_Z9_ZE
Picea_mature_427	-0.121540698922401	0.40134427419492	-0.0465854547459159	-0.0855631402441339	0.0885641712708507	-0.0292208640409521	-0.168455607224872	-0.0567425620401381	0.105122646444043	0.122331646480075	-0.458859057461973	0.0124576900305346	0.591373749030667	-0.0675017542343779	-0.100871074980006	-0.152368525202831
Picea_mature_1388	0.988457762183676	-0.127502615842118	-0.497170009385635	0.856431201050268	0.884278217116761	0.462697532549409	0.54040941615691	0.0654799886852862	-0.366612076416795	0.120030936801161	0.0945854379349636	0.100753274205189	0.16154113427443	-0.520893716886805	0.115738049883801	-0.229587764239421
Picea_mature_654	0.281270400474178	-0.583310723809727	-0.291939242732678	-1.96542659271142	-0.322974031870135	2.40233220509518	-0.743377828781047	0.43628091621911	-1.50977227265857	-0.927132974472398	-0.0111113315296344	-0.302435420845685	0.298232339018578	0.251267924052704	0.432478972423068	-0.943883330784498
Picea_mature_3434	0.275591264385051	-2.26155878617055	1.18774881479171	2.49252763531528	-0.63818792963305	-1.58066623602498	0.135068205219225	1.44235041111759	1.74903992446638	-0.653465513131293	-1.30717814335436	0.131355305556093	1.52667704059439	0.208297555398221	-0.217761821220141	-0.199599737843902
Picea_mature_45	0.989328227848716	-1.04168814623817	0.187487414333012	0.970712183907892	1.16626194020825	1.06677622276833	-0.133988454027327	0.0675553044133957	-1.78212505628304	0.0499414691033495	0.478405282770043	0.0277556096058792	-1.32783960041804	-0.505678822964984	1.65989363141054	-1.06168974697753
Picea_mature_802	5.79078579090739	-3.8532717757997	-1.09695323042879	-2.49222914728846	0.420887119422796	-3.78065532533556	-2.42507815507357	0	0.473266302805489	0	-0.285390538140591	0	-2.57367141717444	0	2.50447619937811	0
Picea_mature_2417	0.723894391705399	1.43094146357025	1.40953910925851	4.7595415990724	0.143886279680566	-0.0831054567024748	-4.29293846447033	-2.20481054337165	2.97863449357767	0.50378424121807	-2.05730788555298	-1.25618862954878	0.85493522874784	1.04658820320125	-0.343318344675183	-7.03175417611672
Picea_mature_401	-3.64878566532838	0.254752581422303	-0.168765574856938	4.30488541455945	0.992002595416445	1.29782046879589	0.591926742671465	-1.03342790627795	-2.23152386958658	-0.242668244029848	0.283628304560951	-0.232367834687941	1.49717597317975	-0.274773046541283	-2.24706001814663	1.16062051808788
Picea_mature_2663	1.44489708208998	-3.58491198428014	1.71436070172186	0.776118478983311	0.686873728307968	1.22460721739067	-0.676310309193025	-0.848641953968831	0.24011436461399	0.796776818031014	1.18112777981268	-0.22782807108835	-0.432463905294788	-2.10944414459285	-1.67073490636575	-0.431653148316992
Picea_mature_3178	2.11440127478779	-0.616498222733721	0.94355218389983	-1.61421480384076	0.311701116398378	-1.82168901595956	-3.67040040747946	-1.56141379356105	-1.50413069196354	-0.0989673425736056	-0.952552643569796	-1.73919166908837	1.80361525806169	-0.65042488946816	-1.62354331705187	0.805156236102367
Picea_mature_3860	0.217284631118175	-0.597521601533571	0.471626254728749	2.32906642337247	-0.213433621784852	-1.18915059632736	0.429431559830582	-1.18021382871459	-0.210646261637949	0.524284066322447	0.811808006524755	-0.716713397649181	-0.316508797253834	0.261662375066666	-0.553790223029031	0.765446155958731
Picea_mature_3246	3.18698347149427	-0.286120097355407	-3.55745003876588	-2.61108578307978	2.29088186257384	2.9743270576239	1.61168244765171	1.15290372825589	0.581516310835127	-0.0421793601416819	-2.00647443234865	1.1638673447196	3.25225376424902	-0.0443512821679546	-0.215982370743116	-2.55841808209337
Picea_mature_1112	0.979083682261817	0.949889062041474	-0.0810928742955381	-2.26479877587082	-0.447449168978345	1.15660854486331	-0.624837118171308	-0.449509741564961	-1.11163676735539	-0.068488289447901	-2.98803448218251	0.304092660038524	2.16503867730796	0.142564183655258	-0.252654528597223	-1.57300633201187
Picea_mature_1593	-0.870612025299241	-0.895859785670252	-0.757451327217457	3.06357026538407	0.67457868697385	-0.0732982693313626	-0.773513765280494	0.0306388418652696	0.900395865393595	-0.733498614373752	-1.30822175435727	-0.1176441247222	-0.977240232068843	-0.210105371281599	1.52683383277911	0.73887481841355
Picea_mature_2565	-0.079363487980459	-1.70082109513299	-0.163240182096187	-0.169524885516005	0.152247839429023	-0.931352611773566	-0.29337508589401	-0.375325648960433	-0.687431789803137	-0.0967359822722845	0.737005377886893	0.271840149899134	0.183239138758234	-0.357628805150541	0.318076876689365	0.0526015808066645
Picea_mature_4007	-0.320660355610055	0.0815341067256001	-0.191323630797401	-0.420992573246208	0.279839146601535	0.101941991624568	0.493485714294074	0.359452365106549	0.360001725883168	0.190963563334035	0.145275228740082	0.249748290939356	-0.350310390063819	0.223477679669079	0.275378438319904	0.128748465434694
