P11601_101_S1_L001_1,36308,6582,11484,24027,36250,26932
P11601_102_S2_L001_1,22987,3978,8061,13630,36235,20413
P11601_103_S3_L001_1,26399,3874,10818,12146,35541,17934
P11601_104_S4_L001_1,30364,4375,10506,9234,28155,19527
P11601_105_S5_L001_1,26804,5004,9796,13232,27581,19886
P11601_106_S6_L001_1,46918,7100,17088,17547,40264,32785
P11601_107_S7_L001_1,41439,5862,16146,10112,20328,14853
P11601_108_S8_L001_1,35632,4192,9852,9336,16472,13791
P11601_110_S9_L001_1,53867,3554,9342,14501,31635,26176
P11601_111_S10_L001_1,45577,5498,7480,44775,61979,76235
P11601_112_S11_L001_1,46590,4582,11238,7674,49007,20293
P11601_113_S12_L001_1,23330,3458,7210,44891,58616,56603
P11601_114_S13_L001_1,31270,4357,22257,12180,37144,32211
P11601_115_S14_L001_1,29733,4782,8044,42887,59186,62152
P11601_116_S15_L001_1,27270,4683,15151,21400,21801,53498
P11601_117_S16_L001_1,27594,5660,8445,9268,19468,11705
P11601_118_S17_L001_1,61006,2496,8017,38456,36391,36474
P11601_119_S18_L001_1,43053,9295,11722,19148,42725,26464
P11601_120_S19_L001_1,55888,4050,17604,28175,48504,44904
P11601_121_S20_L001_1,43458,10414,16472,17468,41932,33830
P11601_123_S21_L001_1,40646,4944,7168,11441,20081,21258
P11601_124_S22_L001_1,42466,3110,6172,37092,67665,65603
P11601_125_S23_L001_1,23048,2967,5956,9305,10353,10999
P11601_126_S24_L001_1,14785,1578,3596,3256,7756,9632
P11601_127_S25_L001_1,35367,4442,9723,17516,21986,25999
P11601_128_S26_L001_1,35480,2542,5490,37647,53103,38515
P11601_129_S27_L001_1,35457,5145,9109,35683,44740,49937
P11601_130_S28_L001_1,34422,4017,7211,29210,49678,47351
P11601_131_S30_L002_1,48734,5609,11079,19469,27224,31660
P11601_133_S31_L002_1,41723,3126,7755,18882,30216,39435
P11601_134_S32_L002_1,32026,2862,5165,28082,40515,47982
P11601_135_S33_L002_1,34034,3216,6503,18814,25249,37660
P11601_136_S34_L002_1,60730,3604,6711,24562,43784,44972
P11601_137_S35_L002_1,37227,6420,14109,48809,61685,79764
P11601_138_S36_L002_1,32304,3408,5741,24430,28561,27486
P11601_139_S37_L002_1,22970,3334,8236,10100,19004,21321
P11601_140_S38_L002_1,88140,1912,2417,30613,31337,51608
P11601_141_S39_L002_1,30686,3425,9214,12827,18879,27353
P11601_142_S40_L002_1,17842,817,1277,7740,11091,12814
P11601_143_S41_L002_1,29914,3186,6863,17188,28985,34002
P11601_145_S42_L002_1,39043,3217,5842,11060,14916,32998
P11601_146_S43_L002_1,36173,1423,1597,10775,16114,23573
P11601_147_S44_L002_1,24679,2363,3078,5767,13331,9463
P11601_149_S46_L002_1,19502,3049,4862,8950,15728,12258
P11601_150_S47_L002_1,19352,1683,3020,12208,21998,21517
P11601_151_S48_L002_1,19300,3257,4483,10820,23493,14102
P11601_153_S49_L002_1,21255,2925,4508,9028,15142,11610
P11601_154_S50_L002_1,69563,957,1141,10265,3329,2341
P11601_155_S51_L002_1,24688,2478,3997,7828,12240,11736
P11601_157_S29_L001_1,27686,3860,5290,8350,17887,11479
P11601_201_S52_L002_1,19748,3823,20342,9278,20708,17394
P11601_202_S53_L002_1,61792,1882,1608,24588,22166,37714
P11601_203_S54_L002_1,21430,2483,4602,15991,20312,38795
P11601_204_S55_L002_1,69947,1786,1817,34954,31114,64561
P11601_205_S56_L002_1,12932,862,876,6328,7293,35449
P11601_206_S57_L002_1,32961,994,1508,17924,15334,33299
