;Z6-ZE_Avg;10325,66667;12657,33333;61319;15632,33333;39086;860976,6667
P11601_128_S26_L001_1.lane.clean.fasta.remake_filtered.fa;Z7-FMG;81725;101603;264229;113148;134326;304966
P11601_130_S28_L001_1.lane.clean.fasta.remake_filtered.fa;Z7-FMG;75408;91126;316585;90477;106664;319737
P11601_202_S53_L002_1.lane.clean.fasta.remake_filtered.fa;Z7-FMG;108269;118109;372022;107758;104100;189740
;Z7-FMG_Avg;88467,33333;103612,6667;317612;103794,3333;115030;271481
P11601_129_S27_L001_1.lane.clean.fasta.remake_filtered.fa;Z7-ZE;37784;44237;126125;49469;71421;670962
P11601_131_S30_L002_1.lane.clean.fasta.remake_filtered.fa;Z7-ZE;30255;37050;160162;39615;65940;666974
P11601_133_S31_L002_1.lane.clean.fasta.remake_filtered.fa;Z7-ZE;71028;79214;226488;77201;94957;451109
;Z7-ZE_Avg;46355,66667;53500,33333;170925;55428,33333;77439,33333;596348,3333
P11601_134_S32_L002_1.lane.clean.fasta.remake_filtered.fa;Z8-FMG;76307;99273;339723;107451;125802;251442
P11601_136_S34_L002_1.lane.clean.fasta.remake_filtered.fa;Z8-FMG;96329;111158;302163;120032;132901;237413
P11601_138_S36_L002_1.lane.clean.fasta.remake_filtered.fa;Z8-FMG;143267;148404;243948;144131;148698;171549
;Z8-FMG_Avg;105301;119611,6667;295278;123871,3333;135800,3333;220134,6667
P11601_135_S33_L002_1.lane.clean.fasta.remake_filtered.fa;Z8-ZE;37134;46603;304719;48486;71122;491933
P11601_137_S35_L002_1.lane.clean.fasta.remake_filtered.fa;Z8-ZE;53888;64917;295427;64258;83207;438300
P11601_139_S37_L002_1.lane.clean.fasta.remake_filtered.fa;Z8-ZE;120613;128658;265805;119294;126567;239060
;Z8-ZE_Avg;70545;80059,33333;288650,3333;77346;93632;389764,3333
P11601_140_S38_L002_1.lane.clean.fasta.remake_filtered.fa;Z9-FMG;98672;116655;295713;124905;143060;220992
P11601_142_S40_L002_1.lane.clean.fasta.remake_filtered.fa;Z9-FMG;101976;121606;256694;142671;159413;217637
;Z9-FMG_Avg;100324;119130,5;276203,5;133788;151236,5;219314,5
P11601_141_S39_L002_1.lane.clean.fasta.remake_filtered.fa;Z9-ZE;47992;63590;333515;59436;82584;412879
P11601_143_S41_L002_1.lane.clean.fasta.remake_filtered.fa;Z9-ZE;60840;77077;316271;75490;97557;372762
;Z9-ZE_Avg;54416;70333,5;324893;67463;90070,5;392820,5
