	S1	S2	S3	S4	S5	S6	S7	S8	Z1-SD	Z2-SD	Z3-SD	Z4-ZE	Z5-ZE	Z6-ZE	Z7-ZE	Z8-ZE	Z9-ZE	Z10-ZE	Z4-FMG	Z5-FMG	Z6-FMG	Z7-FMG	Z8-FMG	Z9-FMG	Z10-FMG
	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Index	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Picea_mature_1388	0.42553004185416543	-2.4749621820655014	-0.26111927947358027	0.922914053711632	0.2453960072289819	-0.00836693445168386	0.4151576136473786	0.7354506795485962	-1.3339617909371182	-0.3914012837974469	-1.1757648670147012	0.033959827976135136	1.211165289419419	1.375703891382589	1.501840026594627	1.4915095143152513	0.5046952586207021	0.6459933935133649	-1.5633029499078388	0.07051237532641803	-1.2104278503900772	-0.10791881938483722	-0.2897780975406702	0.2787212058269473	-1.0415451240027278
Picea_mature_654,miR1314	0.715309487120956	0.20608921820459292	1.2823040149981089	0.9108431459169721	-0.3149229413575166	-0.9324461476829039	-1.9966297594908475	0.12945298229063815	0.8019082123327836	1.2743140753979336	0.6541484010321357	-0.9711169752400374	0.9436727941455322	1.4729387190948127	0.5250567584063667	0.2701971000900579	0.6353758735115661	-0.1724008335765881	0.5723686157912752	0.1646483151204372	-0.17606195911434228	-1.3312943564115207	-1.8217120161370084	-1.4690351235140706	-1.3730076009293204
Picea_mature_3020,miR3701	0.7922372059604571	1.3847884433675042	-0.42149620631498286	-1.0985474284115702	0.48100780942351823	-0.8176724263714418	1.0886401931101926	-1.408957590763685	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Picea_mature_3268,miR949	-0.4772520169134236	-0.4772520169134236	-0.4772520169134236	-0.2882033366163246	-0.4772520169134236	-0.4772520169134236	0.07198191254799007	2.6024815086354596	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Picea_mature_3434	0.2549319846146869	-0.560554960778141	0.4516078037782441	-0.712250157544529	0.08455379769812442	-1.424125491865672	2.189475785553393	-0.28363876145610356	0.44989780915661	0.9469523463922599	-1.9098029123670714	1.047913377319726	-1.1836642174412373	0.7812824973051642	0.26774922152909575	0.21727957117183727	0.3255714449646151	0.08371238725488594	-0.23225948264813495	-1.5101086260952894	-1.4668337237561522	0.5524623722609847	-0.9253527978135664	1.2822976241150161	1.2729031086512592
Picea_mature_2417	1.0845665979543828	2.0920976281377235	0.1866578896996984	-0.3786275637775023	-0.6127536754772107	-0.867794808359621	-0.818707168244301	-0.6854388999331661	-0.9999189315052648	-0.9999189315052648	-0.3460862709221907	2.519056633234515	1.7235658994567578	0.22014840042019712	0.671346409784807	0.32346117619627696	0.9271745655778793	-0.9999189315052648	0.21315493261254187	0.3659899913845041	-0.9999189315052648	-0.3661235973721334	-0.581555991168133	-0.6705374916786876	-0.9999189315052648
Picea_mature_401	-1.6019894159019685	-1.1808681258552274	-0.22126359241060814	0.0959596768546699	-0.032096307468899826	0.14029306241393502	1.2578537822746454	1.5421109200934555	0.10203986970355816	-0.90426559743474	-1.0745056059098357	1.0147259757556257	1.7178754834451389	1.0905754470336937	1.0591857702908454	0.7221823498378563	0.7753053534065534	1.3719161047961457	-0.7164118012076737	-0.4445082489686996	-0.6800749443588445	-0.9873994471339818	-0.9060228087713385	-0.5905993513405273	-1.5500185491437786
Picea_mature_2663	0.37664916573358004	1.3721734617445647	-0.3559558647902215	-0.7417730264229775	-0.23359531442861822	1.7201041576330633	-1.08195648874917	-1.0556460907202234	1.2619375058497344	1.692237456789307	-1.3763438361983618	-0.487300333117445	0.6074568321522278	-0.6870122366397201	0.3951042382464999	-0.614478849480691	-1.3913888149042386	-1.6806732859635252	-0.3378920338493545	0.8413712027580905	0.29009227610585403	-0.1908480618625919	1.16931117870744	1.2127447661229962	-0.7043180047162153
