NGI_ID;User_ID;Sample;Sample3;Type;Sample2;SamplesWithPath_UPPMAX
P11601_151;Pab739_3_ZE_MIR1;Z10;Z10-ZE;ZE;B10;/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_151_S48_L002_1.lane.clean.fasta
P11601_153;Pab738_1_ZE_MIR1;Z10;Z10-ZE;ZE;B10;/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_153_S49_L002_1.lane.clean.fasta
P11601_154;Pab738_2_FMG_MIR1;Z10;Z10-FMG;FMG;B10;/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_154_S50_L002_1.lane.clean.fasta
P11601_155;Pab738_2_ZE_MIR1;Z10;Z10-ZE;ZE;B10;/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_155_S51_L002_1.lane.clean.fasta
P11601_157;Pab738_3_ZE_MIR1;Z10;Z10-ZE;ZE;B10;/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_157_S29_L001_1.lane.clean.fasta
P11601_201;PabB3C6_FMG_MIR2;Z3;Z3-SD;SD;B3;/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_201_S52_L002_1.lane.clean.fasta
P11601_202;PabB7C6_FMG_MIR2;Z7;Z7-FMG;FMG;B7;/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_202_S53_L002_1.lane.clean.fasta
P11601_203;PabB10S1_FMG_MIR2;X;X;X;X;/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_203_S54_L002_1.lane.clean.fasta
P11601_204;Pab738-1_FMG_MIR2;Z10;Z10-FMG;FMG;B10;/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_204_S55_L002_1.lane.clean.fasta
P11601_205;Pab738-3_FMG_MIR2;Z10;Z10-FMG;FMG;B10;/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_205_S56_L002_1.lane.clean.fasta
P11601_206;PabB6C3_FMG_MIR2;Z6;Z6-FMG;FMG;B6;/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_206_S57_L002_1.lane.clean.fasta
